Gene	Type	# condition specific	# condition up	# condition down	Condition up	Condition down	Gene_page
chr1.CM0316.13_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
chr1.CM0398.5_s_at	S	6	0	6	-	WT_root_tip_3w_uninocul,WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	NA
chr1.CM0442.29.2_s_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
chr1.CM0544.49_at	S	1	1	0	Nod21	-	NA
chr1.CM0591.50_at	S	5	0	5	-	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	NA
chr1.CM0955.14.1_at	S	3	0	3	-	Root,Root0h,Nod21	NA
chr1.TM1003.2.1_s_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
chr1.TM1635.7_at	S	1	0	1	-	WT_rootSZ_3w_Nod_inocul1	NA
chr2.CM0018.74.3_at	S	1	1	0	Root0h	-	NA
chr2.CM0021.11.1_at	S	1	1	0	sen1_nodule_3w_inocul21	-	NA
chr2.CM0031.4_at	S	5	0	5	-	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	NA
chr2.CM0102.65_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
chr2.CM0191.16_at	S	2	0	2	-	nup133_rootSZ_3w_uninocul,nup133_rootSZ_3w_inocul1	NA
chr2.CM0201.50_at	S	6	6	0	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
chr2.CM0201.51_at	S	5	0	5	-	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	NA
chr2.CM0201.56.1_at	S	8	8	0	root_28dpimycorrhized,WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,WT_root_nodule_3w_inocul21,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
chr2.CM0225.21.1_at	S	3	3	0	Root,Root0h,Nod21	-	NA
chr2.CM0249.13_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
chr2.CM0312.46_at	S	3	0	3	-	Root,Root0h,Nod21	NA
chr2.CM0545.26_at	S	1	1	0	Nod21	-	NA
chr2.CM0545.33_s_at	S	7	7	0	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,WT_root_nodule_3w_inocul21,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
chr2.CM0904.37_at	S	6	0	6	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized,nfr1_rootSZ_3w_uninocul,nfr1_rootSZ_3w_inocul1	NA
chr2.TM0610.20.1_at	S	6	6	0	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
chr2.TM0610.20_s_at	S	6	6	0	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
chr2.TM0610.9_at	S	6	6	0	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
chr2.TM1561.13_at	S	1	1	0	root_28dpimycorrhized	-	NA
chr3.CM0106.83_at	S	1	1	0	Nod21	-	NA
chr3.CM0116.49_at	S	9	9	0	root_4dpicontrol,root_28dpicontrol,root_28dpimycorrhized,WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
chr3.CM0135.15_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
chr3.CM0142.49_at	S	4	4	0	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	-	NA
chr3.CM0152.1.1_s_at	S	8	8	0	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Root,Root0h,Nod21	-	NA
chr3.CM0152.31_at	S	6	6	0	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
chr3.CM0160.50_at	S	5	1	4	Nod21	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
chr3.CM0164.13_at	S	6	6	0	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
chr3.CM0196.31_at	S	7	7	0	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,WT_root_nodule_3w_inocul21,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
chr3.CM0226.42_at	S	5	0	5	-	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	NA
chr3.CM0253.23.2_at	S	6	6	0	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
chr3.CM0282.28_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
chr3.TM0619.18.1_x_at	S	1	1	0	Nod21	-	NA
chr3.TM0916.11.2_at	S	10	10	0	har1_root_3w_inocul3,WT_root_3w_inocul3,WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,WT_root_nodule_3w_inocul21,WT_rootSZ_3w_inocul1,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
chr3.TM1419.13.1_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
chr4.CM0003.66_at	S	2	0	2	-	Root,Root0h	NA
chr4.CM0006.23_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
chr4.CM0006.32_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
chr4.CM0042.31_at	S	5	0	5	-	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	NA
chr4.CM0042.44_at	S	5	0	5	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized,WT_rootSZ_3w_Nod_inocul1	NA
chr4.CM0042.46_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
chr4.CM0044.55_at	S	6	6	0	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
chr4.CM0087.104_at	S	1	0	1	-	WT_root_tip_3w_uninocul	NA
chr4.CM0100.42.1_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
chr4.CM0126.93_s_at	S	6	6	0	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Root0h,Nod21	-	NA
chr4.CM0128.80_at	S	3	3	0	Root,Root0h,Nod21	-	NA
chr4.CM0227.34_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
chr4.CM0265.9_at	S	8	8	0	har1_root_3w_inocul3,WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,WT_root_nodule_3w_inocul21,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
chr4.CM0265.9_s_at	S	8	8	0	har1_root_3w_inocul3,WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,WT_root_nodule_3w_inocul21,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
chr4.CM0297.2_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
chr4.CM0337.33.8_at	S	9	9	0	root_28dpimycorrhized,har1_root_3w_inocul3,WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,WT_root_nodule_3w_inocul21,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
chr4.CM0500.12_at	S	8	6	2	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	Root,Root0h	NA
chr4.CM0500.19_at	S	3	3	0	Root,Root0h,Nod21	-	NA
chr4.CM0558.48_at	S	7	7	0	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,WT_root_nodule_3w_inocul21,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
chr4.CM0558.51_at	S	1	1	0	Nod21	-	NA
chr4.CM0617.39_at	S	5	0	5	-	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	NA
chr4.CM0739.32_at	S	2	2	0	Root,Nod21	-	NA
chr4.TM1334.2_s_at	S	6	6	0	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
chr5.CM0052.4.1_at	S	1	1	0	WT_rootSZ_3w_Nod_inocul1	-	NA
chr5.CM0071.111_at	S	3	3	0	Root,Root0h,Nod21	-	NA
chr5.CM0200.104.1_at	S	5	0	5	-	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	NA
chr5.CM0200.125_at	S	1	1	0	Nod21	-	NA
chr5.CM0200.129_at	S	9	8	1	WT_root_tip_3w_uninocul,WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,WT_root_nodule_3w_inocul21,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	Root0h	NA
chr5.CM0200.148_at	S	1	0	1	-	WT_rootSZ_3w_Nod_inocul1	NA
chr5.CM0239.47_at	S	1	1	0	sen1_nodule_3w_inocul21	-	NA
chr5.CM0328.24_at	S	3	0	3	-	Root,Root0h,Nod21	NA
chr5.CM0335.25.1_at	S	3	0	3	-	Root,Root0h,Nod21	NA
chr5.TM0389.17_at	S	5	0	5	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized,WT_rootSZ_3w_Nod_inocul1	NA
chr6.CM0037.24.1_at	S	2	2	0	Root,Root0h	-	NA
chr6.CM0139.78_at	S	5	0	5	-	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	NA
chr6.CM0140.6_at	S	5	0	5	-	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	NA
chr6.CM0314.37_at	S	6	6	0	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
chr6.CM0539.1_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
chr6.CM0836.62_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
chr6.TM0756.2_at	S	2	2	0	root_28dpimycorrhized,sen1_nodule_3w_inocul21	-	NA
chr6.TM0957.14.1_at	S	3	3	0	Root,Root0h,Nod21	-	NA
chr6.TM1657.6_at	S	2	2	0	Root,Root0h	-	NA
CM0300.5_at	S	6	6	0	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
CM0319.4_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
CM0905.18_at	S	1	1	0	root_28dpimycorrhized	-	NA
CM1102.1_s_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
CM1257.20_at	S	3	0	3	-	Root,Root0h,Nod21	NA
gi11065214_at	S	1	0	1	-	WT_rootSZ_3w_Nod_inocul1	NA
gi15189162_at	S	7	7	0	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,WT_root_nodule_3w_inocul21,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
gi2367430_at	S	6	6	0	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
gi29966314_at	S	6	6	0	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
gi45352236_at	S	3	3	0	Root,Root0h,Nod21	-	NA
gi45352481_at	S	4	4	0	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	-	NA
gi45354665_at	S	6	6	0	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
gi45396605_at	S	5	0	5	-	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	NA
gi45398394_at	S	1	1	0	root_28dpimycorrhized	-	NA
gi45413571_x_at	S	2	2	0	har1_root_3w_inocul3,cyclops_root_3w_uninocul_mean	-	NA
gi45573269_at	S	4	4	0	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	-	NA
gi45577883_at	S	5	0	5	-	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	NA
gi45605265_at	S	3	3	0	Root,Root0h,Nod21	-	NA
gi45609297_at	S	3	3	0	Root,Root0h,Nod21	-	NA
gi45609677_at	S	3	0	3	-	Root,Root0h,Nod21	NA
gi45614135_at	S	5	0	5	-	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	NA
gi45617661_at	S	3	0	3	-	Root,Root0h,Nod21	NA
gi45617661_x_at	S	3	0	3	-	Root,Root0h,Nod21	NA
gi45618245_at	S	3	0	3	-	Root,Root0h,Nod21	NA
gi45618277_at	S	2	0	2	-	Root,Root0h	NA
gi45620296_at	S	3	0	3	-	Root,Root0h,Nod21	NA
gi45620347_at	S	3	0	3	-	Root,Root0h,Nod21	NA
gi45620947_at	S	5	5	0	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized,WT_rootSZ_3w_Nod_inocul1	-	NA
gi45625734_at	S	3	0	3	-	Root,Root0h,Nod21	NA
gi45626334_at	S	3	0	3	-	Root,Root0h,Nod21	NA
gi45627787_at	S	4	0	4	-	WT_root_3w_inocul3,Root,Root0h,Nod21	NA
gi45631520_at	S	4	4	0	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	-	NA
gi45631965_at	S	6	6	0	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
gi45636766_at	S	2	2	0	Root,Root0h	-	NA
gi6325825_at	S	5	0	5	-	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	NA
gi7720856_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
gi7780036_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
gi7781673_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_000355.0.1_s_at	S	1	0	1	-	Nod21	NA
Ljwgs_000592.0.1_at	S	1	1	0	WT_rootSZ_3w_Nod_inocul1	-	NA
Ljwgs_002163.1_at	S	2	2	0	Root,Root0h	-	NA
Ljwgs_002348.1_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_002977.1_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_003534.1_s_at	S	3	3	0	Root,Root0h,Nod21	-	NA
Ljwgs_004136.3_at	S	1	1	0	Nod21	-	NA
Ljwgs_004953.1_at	S	2	2	0	har1_root_3w_uninocul,har1_root_3w_inocul3	-	NA
Ljwgs_005472.1_at	S	7	7	0	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,WT_root_nodule_3w_inocul21,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
Ljwgs_007097.2_at	S	5	0	5	-	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	NA
Ljwgs_007130.1_at	S	2	0	2	-	sen1_nodule_3w_inocul21,Nod21	NA
Ljwgs_007477.1.1_at	S	6	6	0	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
Ljwgs_007800.1.1_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_008922.2_at	S	6	6	0	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
Ljwgs_010352.1_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_010753.1_at	S	1	1	0	Nod21	-	NA
Ljwgs_012199.1_at	S	2	2	0	Root,Root0h	-	NA
Ljwgs_012435.3_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_012919.2_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_013090.3_at	S	3	3	0	Root,Root0h,Nod21	-	NA
Ljwgs_013283.2_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_013913.1_at	S	3	3	0	Root,Root0h,Nod21	-	NA
Ljwgs_014939.1_at	S	2	2	0	Root,Root0h	-	NA
Ljwgs_015037.1_at	S	3	0	3	-	Root,Root0h,Nod21	NA
Ljwgs_015289.3_at	S	1	1	0	Nod21	-	NA
Ljwgs_015508.0.1_at	S	1	1	0	root_28dpimycorrhized	-	NA
Ljwgs_015527.4_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_015860.1_at	S	2	2	0	Root,Root0h	-	NA
Ljwgs_015904.1_at	S	3	3	0	Root,Root0h,Nod21	-	NA
Ljwgs_016294.3_at	S	3	0	3	-	Root,Root0h,Nod21	NA
Ljwgs_016377.1_s_at	S	1	1	0	root_28dpimycorrhized	-	NA
Ljwgs_016780.2_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_016780.2_x_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_016788.2_at	S	1	1	0	Nod21	-	NA
Ljwgs_017279.1_s_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_017296.0.1_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_017780.1_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_017840.1_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_017894.1.1_at	S	7	0	7	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized,WT_root_nodule_3w_inocul7,WT_rootSZ_3w_uninocul,WT_rootSZ_3w_Nod_inocul1	NA
Ljwgs_018554.2_at	S	6	6	0	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
Ljwgs_018710.2_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_019501.0.1_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_019526.1_s_at	S	5	0	5	-	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	NA
Ljwgs_020466.1_at	S	6	6	0	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
Ljwgs_020896.1_at	S	5	0	5	-	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	NA
Ljwgs_021206.1_s_at	S	6	6	0	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
Ljwgs_021500.1_s_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_022339.3_s_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_022570.2_at	S	3	0	3	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpimycorrhized	NA
Ljwgs_023000.1_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_023562.1_at	S	1	1	0	Nod21	-	NA
Ljwgs_023632.2_s_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_024000.1_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_024123.2_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_024445.1_at	S	1	1	0	Nod21	-	NA
Ljwgs_024958.2_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_025034.1_at	S	5	0	5	-	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	NA
Ljwgs_025454.2_at	S	2	2	0	Root,Root0h	-	NA
Ljwgs_026562.1_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_026645.1_at	S	1	1	0	Nod21	-	NA
